group,name,desc,test_acc,test_fscore,composite,delta_acc,delta_fscore,args,source_file
dual_metric,d10,d10_s3407_ens32,67.05,65.52,132.57,1.03,0.65,,d10.log
dual_metric,d11_confirm,最终确认最优 seed3407 ens0.32/0.28,67.05,65.52,132.57,1.03,0.65,"{""seed"": 3407, ""ensemble_a"": 0.32, ""ensemble_v"": 0.28, ""fusion_arch"": ""linear"", ""fusion_mode"": ""fixed""}",log
arch_fusion,s10_rescross+logit,s10_rescross+logit,66.86,65.65,132.51,0.84,0.78,,s10_rescross+logit.log
arch_fusion,s7_residual_cross,s7_residual_cross,66.86,65.65,132.51,0.84,0.78,,s7_residual_cross.log
baseline,d2_linear,d2_linear,66.97,65.47,132.44,0.95,0.6,,d2_linear.log
baseline,f0_fixed,f0_fixed,66.97,65.47,132.44,0.95,0.6,,f0_fixed.log
training_strategy,r15_combo_all,r15_combo_all,66.97,65.47,132.44,0.95,0.6,,r15_combo_all.log
training_strategy,r13_combo_strong_dropout,r13_combo_strong_dropout,66.93,65.5,132.43,0.91,0.63,,r13_combo_strong_dropout.log
dual_metric,d9,d9_seed3407,66.78,65.64,132.42000000000002,0.76,0.77,,d9.log
dual_metric,d3,d3_linear_ens28,66.9,65.39,132.29000000000002,0.88,0.52,,d3.log
arch_fusion,s9_linear+moddrop,s9_linear+moddrop,66.78,65.5,132.28,0.76,0.63,,s9_linear+moddrop.log
arch_fusion,s13_rescross+ens35,s13_rescross+ens35,66.82,65.46,132.27999999999997,0.8,0.59,,s13_rescross+ens35.log
arch_fusion,s6_residual_attn,s6_residual_attn,66.74,65.53,132.26999999999998,0.72,0.66,,s6_residual_attn.log
arch_fusion,s8_residual+logit,s8_residual+logit,66.74,65.53,132.26999999999998,0.72,0.66,,s8_residual+logit.log
loss_ensemble,r6_ensemble_strong,r6_ensemble_strong,66.86,65.32,132.18,0.84,0.45,,r6_ensemble_strong.log
dual_metric,d7,d7_rescross_a08,66.7,65.43,132.13,0.68,0.56,,d7.log
arch_fusion,s11_rescross+moddrop,s11_rescross+moddrop,66.63,65.49,132.12,0.61,0.62,,s11_rescross+moddrop.log
dual_metric,d6,d6_linear_ens29,66.7,65.41,132.11,0.68,0.54,,d6.log
arch_fusion,s0_linear,s0_linear,66.74,65.3,132.04,0.72,0.43,,s0_linear.log
dual_metric,d8,d8_linear_ls003,66.67,65.36,132.03,0.65,0.49,,d8.log
arch_fusion,d1_rescross_a005,d1_rescross_a005,66.63,65.37,132.0,0.61,0.5,,d1_rescross_a005.log
dual_metric,d4,d4_rescross_drop55,66.67,65.32,131.99,0.65,0.45,,d4.log
arch_fusion,s1_trimodal_attn,s1_trimodal_attn,66.51,65.37,131.88,0.49,0.5,,s1_trimodal_attn.log
arch_fusion,s4_trimodal+logit,s4_trimodal+logit,66.51,65.37,131.88,0.49,0.5,,s4_trimodal+logit.log
arch_fusion,s3_cross_enhance,s3_cross_enhance,66.36,65.35,131.70999999999998,0.34,0.48,,s3_cross_enhance.log
training_strategy,r10_high_dropout,r10_high_dropout,66.51,65.19,131.7,0.49,0.32,,r10_high_dropout.log
arch_fusion,s2_speaker_gate,s2_speaker_gate,66.32,65.38,131.7,0.3,0.51,,s2_speaker_gate.log
arch_fusion,s5_speaker+logit,s5_speaker+logit,66.32,65.38,131.7,0.3,0.51,,s5_speaker+logit.log
arch_fusion,s12_rescross+all,s12_rescross+all,66.28,65.39,131.67000000000002,0.26,0.52,,s12_rescross+all.log
training_strategy,r14_combo_strong_lowlr,r14_combo_strong_lowlr,66.44,65.2,131.64,0.42,0.33,,r14_combo_strong_lowlr.log
training_strategy,r11_low_lr,r11_low_lr,66.44,65.19,131.63,0.42,0.32,,r11_low_lr.log
logit_fusion,f1_global,f1_global,66.4,65.19,131.59,0.38,0.32,,f1_global.log
loss_ensemble,r16_ensemble_035,r16_ensemble_035,66.59,64.89,131.48000000000002,0.57,0.02,,r16_ensemble_035.log
baseline,r4_baseline_repro,r4_baseline_repro,66.36,65.09,131.45,0.34,0.22,,r4_baseline_repro.log
loss_ensemble,r8_focal_g15,r8_focal_g15,66.48,64.95,131.43,0.46,0.08,,r8_focal_g15.log
loss_ensemble,r5_ensemble_asym,r5_ensemble_asym,66.4,65.02,131.42000000000002,0.38,0.15,,r5_ensemble_asym.log
loss_ensemble,r9_focal_g20,r9_focal_g20,66.4,64.83,131.23000000000002,0.38,-0.04,,r9_focal_g20.log
training_strategy,r12_less_video_kd,r12_less_video_kd,66.09,64.96,131.05,0.07,0.09,,r12_less_video_kd.log
loss_ensemble,r7_text_fused_aux,r7_text_fused_aux,65.9,65.09,130.99,-0.12,0.22,,r7_text_fused_aux.log
baseline,original_baseline,原始训练日志 epoch3 (log_baseline.txt),66.02,64.87,130.89,0.0,0.0,[],log_baseline.txt
logit_fusion,f2_utterance,f2_utterance,64.87,64.19,129.06,-1.15,-0.68,,f2_utterance.log
logit_fusion,f3_dialogue,f3_dialogue,64.29,64.16,128.45,-1.73,-0.71,,f3_dialogue.log
logit_fusion,f4_dialogue_attn,f4_dialogue_attn,64.29,64.16,128.45,-1.73,-0.71,,f4_dialogue_attn.log
